pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,0,0,0,0,,,,,12.111253083000065,13.09954258300013,13.09954258300013,13.09954258300013,13.09954258300013,13.110277125000266,14.093608790999951,14.093608790999951,x,1,0.40855658399959793,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,0,1,1,1,,,,,14.528674333000254,15.521116625000104,15.521116625000104,15.521116625000104,15.521116625000104,15.53006141600008,16.518414874999962,16.518414874999962,v,1,0.3632911250001598,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,0,2,2,2,,,,,16.893623165999998,17.887887500000033,17.887887500000033,17.887887500000033,17.887887500000033,17.887887500000033,18.884937457999968,18.884937457999968,c,1,0.29470820899996397,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,0,3,3,3,,,,,19.19378266600006,20.193960375000188,20.193960375000188,20.193960375000188,20.193960375000188,20.211115583000264,21.177200999999968,21.177200999999968,z,1,0.30001695799955996,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,1,0,4,0,,,,,21.48531758299987,22.472438540999974,22.472438540999974,22.472438540999974,22.472438540999974,22.481441750000158,23.4772575410002,23.4772575410002,x,1,0.25220183300007193,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,1,1,5,1,,,,,23.74392325000008,24.738275416000306,24.738275416000306,24.738275416000306,24.738275416000306,24.738275416000306,25.735362458000054,25.735362458000054,v,1,0.22916016699991815,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,1,2,6,2,,,,,25.977409915999942,26.971071500000107,26.971071500000107,26.971071500000107,26.971071500000107,26.971071500000107,27.96898474999989,27.96898474999989,c,1,0.25787670799991247,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,1,3,7,3,,,,,28.23531200000025,29.22236033299987,29.22236033299987,29.22236033299987,29.22236033299987,29.231072333000157,30.21930058299995,30.21930058299995,z,1,0.25956691699957446,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,2,0,8,0,,,,,30.49366925000004,31.488645333000022,31.488645333000022,31.488645333000022,31.488645333000022,31.488645333000022,32.48555741600012,32.48555741600012,x,1,0.2382756669999253,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,2,1,9,1,,,,,32.73539495800014,33.72294266600011,33.72294266600011,33.72294266600011,33.72294266600011,33.73242049999999,34.719070999999985,34.719070999999985,v,1,0.2724314580000282,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
